entity_id,order_id,settlement_id,settlement_utr,amount,fee,tax,credit,settled_at
pay_kMtsYfZPJpsA5w,order_00012,setl_3x4GxbOLz9shdD,78524155259ph3i3,6993.62,139.87,25.18,6828.57,2026-08-23
pay_ZAQiHdXrvrQlY0,order_00031,setl_o8XGrOeBn48jU6,1600337712oe3t0h,5675.89,113.52,20.43,5541.94,2026-08-27
pay_dVKXTuUx8kmF4D,order_00038,setl_JKwnDrFRcqbfmc,28464650000rn6hw,1904.28,34.62,6.23,1859.34,2026-08-16
pay_UfBH7X41zTPDP4,order_00002,setl_k8FFuf0EwixIIq,514190713649kq71,8950.47,138.01,24.84,8739.24,2026-08-23
pay_UmJEIRnoljtUYm,order_00035,setl_hSdgmbGysH2pp4,72427302499n12o0,1379.31,27.59,4.97,1346.75,2026-08-05
pay_ezaMGGqbWbad3u,order_00003,setl_DrppGDZuVz3GPM,6491309593m82i1l,7247.26,144.95,26.09,7076.22,2026-08-27
pay_3C5WNrPqGWxj43,order_00008,setl_anvJ77P3KzzL4a,4011966884blv0pr,13514.03,270.28,48.65,13195.1,2026-08-28
pay_5S2FQMo9jRIoTn,order_00054,setl_iFgpKl8lJKqnu5,3796581976vcbfcq,5385.54,107.71,19.39,5258.44,2026-08-20
pay_cyBFSOZsPTqlXe,order_00019,setl_jhWbvjVWsdRTQO,1822662216hmuh8l,9793.77,195.88,35.26,9562.63,2026-08-19
pay_aCUvet6zYYqy0p,order_00027,setl_Jf9CIg9lV3G32c,5165932723g73aj0,3732.37,74.65,13.44,3644.28,2026-08-26
pay_3iLXUMdHQq3fh9,order_00082,setl_oUmYnZlHWW2dnL,2311597141tfiuhp,8786.01,175.72,31.63,8578.66,2026-08-27
pay_Zlow1prpETsbu9,order_00090,setl_2PDPF7bHdnmDTq,7598745558ftf6nj,3830.91,96.79,17.42,5709.89,2026-08-07
pay_of9kyPUYR0yZXH,order_00078,setl_7kMliLrxjB8ud8,2300656317n2se05,4583.29,0,0,4475.12,2026-08-25
pay_LwieP2OT2tJzd6,order_00069,setl_Dja9ajhIYPQNVp,5516315438f2xf8m,2492.5,49.85,8.97,2433.68,2026-08-15
pay_wJMmgZgCCCItVz,order_00058,setl_ehdJm5gIU7nUKZ,6582557981tv6685,8499.13,169.98,30.6,8298.55,2026-08-13
pay_1ATSNbylmpUdcc,order_00011,setl_rNgey59yvKqFSg,1632880459vfptom,4722.96,94.46,17.0,4611.5,2026-08-19
pay_nnnPpSfa4jeDFR,order_00098,setl_YIaMp4zhPoziyB,7452729913yw485w,13285.33,265.71,47.83,12971.79,2026-08-04
pay_2hcHrNtlfF5gcz,order_00066,setl_DdIgadkDjdrzTu,5489485517bzqane,2501.83,0,0,2442.78,2026-08-13
pay_TdcCDX1SEp32Fn,order_00041,setl_mgYdlj9yv5Cc6z,2934982045mu46jd,5472.55,109.45,19.7,5343.4,2026-08-05
pay_mI3QDpe3Xj7Gt2,order_00045,setl_h2HSFwKRc5gJ1b,5523703900fo2wb0,12307.3,246.15,44.31,12016.84,2026-08-29
pay_n6e32vuDtIhNjU,order_00060,setl_qehYU9Ld6iViWr,2282044148q4mpr9,6331.55,126.63,22.79,6182.13,2026-08-27
